accession	organism_name	species_taxid	ftp_path
GCF_000008765.1	Clostridium acetobutylicum ATCC 824	1488	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/765/GCF_000008765.1_ASM876v1/
GCF_000019305.1	Clostridium botulinum B1 str. Okra	1491	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/305/GCF_000019305.1_ASM1930v1/
GCF_000020605.1	Agathobacter rectalis ATCC 33656	39491	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/605/GCF_000020605.1_ASM2060v1/
GCF_000145275.1	Clostridium cellulovorans 743B	1493	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/275/GCF_000145275.1_ASM14527v1/
GCF_000166415.1	Halanaerobium hydrogeniformans	656519	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/415/GCF_000166415.1_ASM16641v1/
GCF_000175295.2	Thermoanaerobacter brockii subsp. finnii Ako-1	29323	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/295/GCF_000175295.2_ASM17529v2/
GCF_000255615.2	Acetivibrio thermocellus AD2	1515	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/615/GCF_000255615.2_ASM25561v3/
GCF_000305815.1	Dehalobacter sp. CF	1131462	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/305/815/GCF_000305815.1_ASM30581v1/
GCF_000328625.1	Halobacteroides halobius DSM 5150	42422	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/625/GCF_000328625.1_ASM32862v1/
GCF_000389635.1	Clostridium pasteurianum BC1	1501	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/389/635/GCF_000389635.1_ASM38963v1/
GCF_000506785.4	Clostridium beijerinckii NRRL B-598	1520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/506/785/GCF_000506785.4_ASM50678v4/
GCF_000577895.1	Clostridium bornimense	1216932	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/577/895/GCF_000577895.1_M2_40/
GCF_000807675.2	Eubacterium limosum	1736	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/675/GCF_000807675.2_ASM80767v2/
GCF_001579785.1	Clostridium perfringens	1502	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/579/785/GCF_001579785.1_ASM157978v1/
