accession	organism_name	species_taxid	ftp_path
GCF_000211055.1	Streptococcus pneumoniae SPN994039	1313	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/211/055/GCF_000211055.1_ASM21105v2/
GCF_000271865.1	Streptococcus mutans GS-5	1309	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/865/GCF_000271865.1_ASM27186v1/
GCF_000299135.1	Streptococcus agalactiae GD201008-001	1311	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/135/GCF_000299135.1_ASM29913v1/
GCF_000478255.1	Lactococcus lactis subsp. lactis NCDO 2118	1358	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/478/255/GCF_000478255.1_ASM47825v2/
GCF_000817065.1	Streptococcus mutans UA159-FR	1309	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/065/GCF_000817065.1_ASM81706v1/
GCF_001014305.1	Streptococcus pyogenes	1314	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/014/305/GCF_001014305.1_ASM101430v1/
GCF_001553685.1	Streptococcus sp. oral taxon 431	712633	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/553/685/GCF_001553685.1_ASM155368v1/
GCF_001558215.1	Streptococcus mutans	1309	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/215/GCF_001558215.1_ASM155821v1/
GCF_001598635.1	Enterococcus faecalis	1351	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/598/635/GCF_001598635.1_ASM159863v1/
GCF_001678885.1	Streptococcus pyogenes	1314	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/678/885/GCF_001678885.1_ASM167888v1/
GCF_001870205.1	Vagococcus teuberi	519472	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/870/205/GCF_001870205.1_ASM187020v1/
GCF_001983955.1	Streptococcus oralis	1303	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/983/955/GCF_001983955.1_ASM198395v1/
GCF_002197365.1	Streptococcus agalactiae	1311	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/197/365/GCF_002197365.1_ASM219736v1/
