accession	organism_name	species_taxid	ftp_path
GCF_000011985.1	Lactobacillus acidophilus NCFM	1579	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/985/GCF_000011985.1_ASM1198v1/
GCF_000014505.1	Pediococcus pentosaceus ATCC 25745	1255	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/505/GCF_000014505.1_ASM1450v1/
GCF_000155515.2	Lacticaseibacillus paracasei subsp. paracasei 8700:2	1597	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/515/GCF_000155515.2_ASM15551v2/
GCF_000159455.2	Limosilactobacillus reuteri SD2112	1598	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/455/GCF_000159455.2_ASM15945v2/
GCF_000194785.1	Lacticaseibacillus paracasei	1597	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/785/GCF_000194785.1_ASM19478v1/
GCF_000233755.1	Lacticaseibacillus rhamnosus ATCC 8530	47715	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/755/GCF_000233755.1_ASM23375v1/
GCF_000708635.2	Pediococcus pentosaceus CGMCC 7049	1255	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/708/635/GCF_000708635.2_ASM70863v2/
GCF_000750535.1	Weissella ceti	759620	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/750/535/GCF_000750535.1_ASM75053v1/
GCF_001891125.1	Leuconostoc suionicum	1511761	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/891/125/GCF_001891125.1_ASM189112v1/
GCF_002117345.1	Levilactobacillus brevis	1580	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/345/GCF_002117345.1_ASM211734v1/
GCF_002224505.1	Latilactobacillus curvatus	28038	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/224/505/GCF_002224505.1_ASM222450v1/
GCF_002442835.1	Lacticaseibacillus paracasei	1597	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/442/835/GCF_002442835.1_ASM244283v1/
GCF_002849895.1	Companilactobacillus alimentarius DSM 20249	1602	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/849/895/GCF_002849895.1_ASM284989v1/
GCF_002901165.3	Lacticaseibacillus paracasei subsp. paracasei	1597	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/901/165/GCF_002901165.3_ASM290116v3/
GCF_002982135.1	Pediococcus inopinatus	114090	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/982/135/GCF_002982135.1_ASM298213v1/
GCF_003255875.1	Limosilactobacillus fermentum	1613	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/255/875/GCF_003255875.1_ASM325587v1/
GCF_003428395.1	Lactobacillus johnsonii	33959	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/428/395/GCF_003428395.1_ASM342839v1/
GCF_003433375.1	Leuconostoc mesenteroides	1245	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/433/375/GCF_003433375.1_ASM343337v1/
GCF_003433395.1	Lacticaseibacillus rhamnosus	47715	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/433/395/GCF_003433395.1_ASM343339v1/
GCF_003971565.1	Lactobacillus crispatus	47770	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/971/565/GCF_003971565.1_ASM397156v1/
GCF_007923185.1	Pediococcus pentosaceus	1255	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/923/185/GCF_007923185.1_ASM792318v1/
GCF_008033175.1	Leuconostoc pseudomesenteroides	33968	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/033/175/GCF_008033175.1_ASM803317v1/
GCF_009498395.1	Lactobacillus helveticus	1587	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/498/395/GCF_009498395.1_ASM949839v1/
