accession	organism_name	species_taxid	ftp_path
GCF_000011525.1	Staphylococcus aureus subsp. aureus MSSA476	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/525/GCF_000011525.1_ASM1152v1/
GCF_000019045.1	Anoxybacillus flavithermus WK1	33934	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/045/GCF_000019045.1_ASM1904v1/
GCF_000318055.1	Listeria monocytogenes serotype 4b str. LL195	1639	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/055/GCF_000318055.1_ASM31805v1/
GCF_000473245.1	Bacillus infantis NRRL B-14911	324767	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/473/245/GCF_000473245.1_ASM47324v1/
GCF_000597985.1	Paenibacillus polymyxa SQR-21	1406	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/597/985/GCF_000597985.1_ASM59798v1/
GCF_000756715.1	Jeotgalicoccus saudimassiliensis	1461582	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/715/GCF_000756715.1_PRJEB5505_assembly_1/
GCF_001019275.2	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/019/275/GCF_001019275.2_ASM101927v2/
GCF_001019485.2	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/019/485/GCF_001019485.2_ASM101948v2/
GCF_001278745.1	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/278/745/GCF_001278745.1_ASM127874v1/
GCF_001634265.1	Anoxybacillus sp. B2M1	1490052	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/634/265/GCF_001634265.1_ASM163426v1/
GCF_001683295.1	Bacillus anthracis	1392	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/683/295/GCF_001683295.1_ASM168329v1/
GCF_001683315.1	Staphylococcus equorum	246432	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/683/315/GCF_001683315.1_ASM168331v1/
GCF_001687625.2	Planococcus maritimus	192421	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/687/625/GCF_001687625.2_ASM168762v2/
GCF_001908335.2	Listeria monocytogenes	1639	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/908/335/GCF_001908335.2_ASM190833v2/
GCF_001936375.1	Bacillus anthracis	1392	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/936/375/GCF_001936375.1_ASM193637v1/
GCF_002119825.1	Macrococcoides caseolyticum	69966	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/825/GCF_002119825.1_ASM211982v1/
GCF_003043895.1	Listeria monocytogenes	1639	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/043/895/GCF_003043895.1_ASM304389v1/
GCF_003096215.1	Caldibacillus thermoamylovorans	35841	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/096/215/GCF_003096215.1_ASM309621v1/
GCF_003425835.1	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/425/835/GCF_003425835.1_ASM342583v1/
GCF_003812505.1	Staphylococcus hominis	1290	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/505/GCF_003812505.1_ASM381250v1/
GCF_005890035.1	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/890/035/GCF_005890035.1_ASM589003v1/
GCF_006088795.1	Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10	1423	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/088/795/GCF_006088795.1_ASM608879v1/
GCF_006542275.1	Saccharibacillus brassicae	2583377	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/542/275/GCF_006542275.1_ASM654227v1/
GCF_007410625.1	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/410/625/GCF_007410625.1_ASM741062v1/
GCF_007726565.1	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/726/565/GCF_007726565.1_ASM772656v1/
GCF_009025915.1	Bacillus thuringiensis	1428	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/025/915/GCF_009025915.1_ASM902591v1/
GCF_009739965.1	Bacillus cereus	1396	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/739/965/GCF_009739965.1_ASM973996v1/
GCF_009818105.1	Bacillus sp. N1-1	2682541	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/818/105/GCF_009818105.1_ASM981810v1/
GCF_009912695.1	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/912/695/GCF_009912695.1_ASM991269v1/
