accession	organism_name	species_taxid	ftp_path
GCF_000212395.1	Thermodesulfobium narugense DSM 14796	184064	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/395/GCF_000212395.1_ASM21239v1/
GCF_000270065.1	Helicobacter pylori F57	210	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/065/GCF_000270065.1_ASM27006v1/
GCF_000277755.1	Zymomonas mobilis subsp. mobilis ATCC 29191	542	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/755/GCF_000277755.1_ASM27775v1/
GCF_000486345.2	Salmonella enterica subsp. enterica serovar Typhimurium str. SARA13	28901	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/345/GCF_000486345.2_ASM48634v2/
GCF_001007065.1	Chlamydia pneumoniae	83558	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/007/065/GCF_001007065.1_CWL011/
GCF_001021005.2	Escherichia coli K-12	562	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/005/GCF_001021005.2_ASM102100v2/
GCF_001025175.1	Bifidobacterium breve DSM 20213 = JCM 1192	1685	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/025/175/GCF_001025175.1_ASM102517v1/
GCF_001277875.1	Burkholderia pseudomallei	28450	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/277/875/GCF_001277875.1_ASM127787v1/
GCF_001280925.1	Klebsiella quasipneumoniae	1463165	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/925/GCF_001280925.1_ASM128092v1/
GCF_001314325.1	Sphingopyxis macrogoltabida	33050	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/314/325/GCF_001314325.1_ASM131432v1/
GCF_001483845.1	Campylobacter coli	195	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/483/845/GCF_001483845.1_ASM148384v1/
GCF_002278135.3	Bradyrhizobium ottawaense	931866	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/278/135/GCF_002278135.3_ASM227813v3/
GCF_002447415.1	Mycobacterium tuberculosis	1773	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/415/GCF_002447415.1_ASM244741v1/
GCF_002752735.1	Chlamydia psittaci	83554	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/752/735/GCF_002752735.1_ASM275273v1/
GCF_002759235.2	Xanthomonas citri pv. phaseoli var. fuscans	346	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/759/235/GCF_002759235.2_ASM275923v2/
GCF_002804225.1	Mesoplasma lactucae ATCC 49193	138853	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/804/225/GCF_002804225.1_ASM280422v1/
GCF_002852785.2	Klebsiella pneumoniae subsp. pneumoniae	573	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/852/785/GCF_002852785.2_ASM285278v2/
GCF_002968655.1	Pseudomonas aeruginosa	287	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/968/655/GCF_002968655.1_ASM296865v1/
GCF_002997935.1	Chlamydia muridarum str. Nigg	83560	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/997/935/GCF_002997935.1_ASM299793v1/
GCF_003071525.2	Micrococcus luteus	1270	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/071/525/GCF_003071525.2_ASM307152v2/
GCF_003177235.1	Salmonella enterica subsp. enterica serovar Typhimurium	28901	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/177/235/GCF_003177235.1_ASM317723v1/
GCF_003181135.1	Klebsiella pneumoniae	573	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/181/135/GCF_003181135.1_ASM318113v1/
GCF_003718455.1	Salmonella enterica subsp. enterica serovar Typhi	28901	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/718/455/GCF_003718455.1_ASM371845v1/
GCF_003812625.1	Escherichia coli	562	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/625/GCF_003812625.1_ASM381262v1/
GCF_003815955.1	Chryseobacterium bernardetii	1241978	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/955/GCF_003815955.1_ASM381595v1/
GCF_004634745.1	Bordetella pertussis	520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/634/745/GCF_004634745.1_ASM463474v1/
GCF_004843725.1	Psychroserpens sp. NJDZ02	2570561	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/843/725/GCF_004843725.1_ASM484372v1/
GCF_005862305.2	Rhizobium indicum	2583231	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/862/305/GCF_005862305.2_ASM586230v2/
GCF_006542605.1	Porphyrobacter sp. YT40	2547601	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/542/605/GCF_006542605.1_ASM654260v1/
GCF_006777065.1	Escherichia coli	562	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/777/065/GCF_006777065.1_ASM677706v1/
GCF_006874725.1	Klebsiella aerogenes	548	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/874/725/GCF_006874725.1_ASM687472v1/
GCF_010587385.1	Vibrio astriarenae	1481923	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/587/385/GCF_010587385.1_ASM1058738v1/
GCF_013122565.1	Escherichia coli	562	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/122/565/GCF_013122565.1_ASM1312256v1/
GCF_013167775.1	Escherichia coli O157:H7	562	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/167/775/GCF_013167775.1_ASM1316777v1/
GCF_013834745.1	Klebsiella pneumoniae	573	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/834/745/GCF_013834745.1_ASM1383474v1/
GCF_015999385.1	Klebsiella michiganensis	1134687	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/999/385/GCF_015999385.1_ASM1599938v1/
GCF_017358145.1	Streptomyces sp. CA-256286	2801033	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/358/145/GCF_017358145.1_ASM1735814v1/
GCF_019602855.1	Cupriavidus pinatubonensis	248026	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/602/855/GCF_019602855.1_ASM1960285v1/
GCF_019679435.2	Actomonas aquatica	2866162	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/679/435/GCF_019679435.2_ASM1967943v2/
GCF_019856255.1	Rhodococcus opacus	37919	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/856/255/GCF_019856255.1_ASM1985625v1/
GCF_019903195.1	Acinetobacter baumannii	470	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/903/195/GCF_019903195.1_ASM1990319v1/
GCF_019924095.1	Synechocystis sp. PCC 7339	2782213	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/924/095/GCF_019924095.1_ASM1992409v1/
GCF_019976915.1	Escherichia coli	562	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/976/915/GCF_019976915.1_ASM1997691v1/
GCF_020735345.1	Mycobacteroides abscessus subsp. abscessus	36809	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/735/345/GCF_020735345.1_ASM2073534v1/
GCF_021183585.1	Nocardia asteroides	1824	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/183/585/GCF_021183585.1_ASM2118358v1/
GCF_021228675.1	Pseudomonas sp. NIBR-H-19	2901380	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/228/675/GCF_021228675.1_ASM2122867v1/
GCF_022493155.1	Escherichia coli	562	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/493/155/GCF_022493155.1_ASM2249315v1/
GCF_023546845.1	Escherichia coli	562	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/546/845/GCF_023546845.1_ASM2354684v1/
GCF_024612035.1	Streptomyces sp. DSM 40750	2801030	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/612/035/GCF_024612035.1_ASM2461203v1/
GCF_024666265.1	Klebsiella pneumoniae	573	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/666/265/GCF_024666265.1_ASM2466626v1/
GCF_025159075.1	Riemerella anatipestifer	34085	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/159/075/GCF_025159075.1_ASM2515907v1/
GCF_026650825.1	Corynebacterium pseudotuberculosis	1719	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/650/825/GCF_026650825.1_ASM2665082v1/
GCF_028473865.1	Escherichia coli	562	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/473/865/GCF_028473865.1_ASM2847386v1/
GCF_028747925.1	Pseudomonas chlororaphis	587753	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/747/925/GCF_028747925.1_ASM2874792v1/
GCF_029773025.1	Aeromonas caviae	648	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/773/025/GCF_029773025.1_ASM2977302v1/
GCF_030122015.1	Pseudomonas aeruginosa	287	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/122/015/GCF_030122015.1_ASM3012201v1/
GCF_030296015.1	Ferrimonas sp. YFM	3028878	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/296/015/GCF_030296015.1_ASM3029601v1/
GCF_030406905.1	Streptomyces chengbuensis	3053466	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/406/905/GCF_030406905.1_ASM3040690v1/
GCF_030685615.1	Klebsiella pneumoniae	573	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/685/615/GCF_030685615.1_ASM3068561v1/
GCF_032284125.1	Bordetella pertussis	520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/284/125/GCF_032284125.1_ASM3228412v1/
GCF_035609305.1	Micrococcus sp. HOU01	3101753	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/609/305/GCF_035609305.1_ASM3560930v1/
