accession	organism_name	species_taxid	ftp_path
GCF_001443645.1	Lactiplantibacillus paraplantarum	60520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/443/645/GCF_001443645.1_ASM144364v1/
GCF_002211885.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/211/885/GCF_002211885.1_ASM221188v1/
GCF_002850015.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/850/015/GCF_002850015.1_ASM285001v1/
GCF_003627295.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/627/295/GCF_003627295.1_ASM362729v1/
GCF_003627375.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/627/375/GCF_003627375.1_ASM362737v1/
GCF_003641145.1	Lactiplantibacillus paraplantarum	60520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/641/145/GCF_003641145.1_ASM364114v1/
GCF_003641165.1	Lactiplantibacillus argentoratensis	271881	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/641/165/GCF_003641165.1_ASM364116v1/
GCF_003641185.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/641/185/GCF_003641185.1_ASM364118v1/
GCF_013113675.1	Lactiplantibacillus paraplantarum	60520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/113/675/GCF_013113675.1_ASM1311367v1/
GCF_021869545.1	Lactiplantibacillus paraplantarum	60520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/869/545/GCF_021869545.1_ASM2186954v1/
GCF_023823145.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/823/145/GCF_023823145.1_ASM2382314v1/
GCF_023972895.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/972/895/GCF_023972895.1_ASM2397289v1/
GCF_025398935.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/398/935/GCF_025398935.1_ASM2539893v1/
GCF_026222675.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/222/675/GCF_026222675.1_ASM2622267v1/
GCF_029025825.1	Lactiplantibacillus paraplantarum	60520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/025/825/GCF_029025825.1_ASM2902582v1/
GCF_029391915.1	Lactiplantibacillus paraplantarum	60520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/391/915/GCF_029391915.1_ASM2939191v1/
GCF_030480485.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/480/485/GCF_030480485.1_ASM3048048v1/
GCF_030489685.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/489/685/GCF_030489685.1_ASM3048968v1/
GCF_037290055.1	Lactiplantibacillus argentoratensis	271881	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/290/055/GCF_037290055.1_ASM3729005v1/
GCF_038592875.1	Lactiplantibacillus paraplantarum	60520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/592/875/GCF_038592875.1_ASM3859287v1/
GCF_040969965.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/969/965/GCF_040969965.1_ASM4096996v1/
GCF_045862825.1	Lactiplantibacillus brownii	3069269	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/045/862/825/GCF_045862825.1_ASM4586282v1/
GCF_049544935.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/544/935/GCF_049544935.1_ASM4954493v1/
GCF_050407965.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/407/965/GCF_050407965.1_ASM5040796v1/
GCF_050847345.1	Lactiplantibacillus argentoratensis	271881	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/847/345/GCF_050847345.1_ASM5084734v1/
GCF_050858995.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/858/995/GCF_050858995.1_ASM5085899v1/
GCF_050871075.1	Lactiplantibacillus argentoratensis	271881	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/871/075/GCF_050871075.1_ASM5087107v1/
GCF_051098045.1	Lactiplantibacillus paraplantarum	60520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/098/045/GCF_051098045.1_ASM5109804v1/
GCF_053813565.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/813/565/GCF_053813565.1_ASM5381356v1/
GCF_054129855.1	Lactiplantibacillus pentosus	1589	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/129/855/GCF_054129855.1_ASM5412985v1/
